,modern,original
1931,"By my faith in love, I will, then.","Now, by the faith of my love, I will."
1932,Tell me where you live.,Tell me where it is.
1933,"Come with me, I’ll show you, and along the way, you can tell me where you live.","Go with me to it, and I’ll show it you; and by the way you shall tell me where in the forest you live."
1934,Will you come?,Will you go?
1935,"Wholeheartedly, good young man.","With all my heart, good youth."
1936,"No, you have to call me Rosalind.—Sister, you’re coming?","Nay, you must call me Rosalind.—Come, sister, will you go?"
1937,"Come on, sweet Audrey.","Come apace, good Audrey."
1938,"I’ll get your goats, Audrey.","I will fetch up your goats, Audrey."
1939,Do my simple features please you?,Doth my simple feature content you?
1940,"Your features, God help us!","Your features, Lord warrant us!"
1941,What features?,What features?
1942,"Really, Audrey, I wish you were more poetical.","Truly, I would the gods had made thee poetical."
1943,I don’t know what “poetical” means.,I do not know what “poetical” is.
1944,Is it “chaste in word and action”?,Is it honest in deed and word?
1945,Does it mean being truthful?,Is it a true thing?
1946,"Not really, for the truest poetry is often the most artificial.","No, truly, for the truest poetry is the most feigning, and lovers are given to poetry, and what they swear in poetry may be said as lovers they do feign."
1947,But you still wish the gods had made me poetical?,Do you wish then that the gods had made me poetical?
1948,"I do, in fact.","I do, truly, for thou swear’st to me thou art honest."
1949,"Right now you swear to me that you are a virgin; if you were a poet, I might have some hope you were lying.","Now, if thou wert a poet, I might have some hope thou didst feign."
1950,"What, you don’t want me to be chaste?",Would you not have me honest?
1951,"Not really, unless you were ugly.","No, truly, unless thou wert hard-favored, for honesty coupled to beauty is to have honey a sauce to sugar."
1952,"Well, I’m not beautiful, so I hope that I can at least be chaste.","Well, I am not fair, and therefore I pray the gods make me honest."
1953,I’m not a slut—I keep myself clean—but I thank God I am ugly.,"I am not a slut, though I thank the gods I am foul."
1954,"Well, praise the Lord you’re ugly.","Well, praised be the gods for thy foulness; sluttishness may come hereafter."
1955,"Well, God bless this marriage!",But what though?
1956,Amen.,Courage.
1957,"Well, that’s what the wife brings to the marriage.","Well, that is the dowry of his wife; ’tis none of his own getting."
1958,Horns?,Horns?
1959,"Well, there they are.",Even so.
1960,Only for poor men?,Poor men alone?
1961,"No, no.","No, no."
1962,The nobleman’s are as huge as the underfed villager’s.,The noblest deer hath them as huge as the rascal.
1963,"Is the single man lucky, then?",Is the single man therefore blessed?
1964,No.,No.
1965,"Just as a town protected by a wall around it is worth more than a low-lying village, a married man’s horned forehead is more honorable than a bachelor’s bare forehead.","As a walled town is more worthier than a village, so is the forehead of a married man more honorable than the bare brow of a bachelor."
1966,Here comes Sir Oliver.,"Here comes Sir Oliver.—Sir Oliver Martext, you are well met."
1967,"Will you marry us here, under this tree, or should we follow you to your chapel?","Will you dispatch us here under this tree, or shall we go with you to your chapel?"
1968,Is there anyone to give the bride away?,Is there none here to give the woman?
1969,I don’t want to take another man’s second-hand goods.,I will not take her on gift of any man.
1970,"No, someone has to give her away or the marriage isn’t legal.","Truly, she must be given, or the marriage is not lawful."
1971,"How are you, sir?","How do you, sir?"
1972,We’re glad to see you.,You are very well met.
1973,God bless you for being here.,God 'ild you for your last company.
1974,I’m very glad to see you.,I am very glad to see you.
1975,"This is just a trifling matter here, sir.","Even a toy in hand here, sir."
1976,"No, no, put your hat back on.","Nay, pray be covered."
1977,"Do you want to get married, fool?","Will you be married, motley?"
1978,"Just as the ox has his yoke, the horse its bridle, the falcon a tether, a man has his desires—to keep in check.","As the ox hath his bow, sir, the horse his curb, and the falcon her bells, so man hath his desires; and as pigeons bill, so wedlock would be nibbling."
1979,"And, being a man of your breeding, you’re going to be married under some shrubs like a beggar?","And will you, being a man of your breeding, be married under a bush like a beggar?"
1980,"Get yourself to a church and have a proper priest, who can tell you what marriage is all about, marry you.","Get you to church, and have a good priest that can tell you what marriage is."
1981,Then one of you will warp and pull away—and there goes your marriage.,"Then one of you will prove a shrunk panel and, like green timber, warp, warp."
1982,Come with me and let me advise you.,"Go thou with me, and let me counsel thee."
1983,"Come, sweet Audrey.","Come, sweet Audrey."
1984,We have to be married properly.,"We must be married, or we must live in bawdry.—Farewell, good Master Oliver, not               'Tis no matter."
1985,None of these deranged rascals can shake me from my profession.,Ne'er a fantastical knave of them all shall flout me out of my calling.
1986,Don’t talk to me.,Never talk to me.
1987,I’m going to cry.,I will weep.
1988,"Go ahead if you want, but remember that crying doesn’t suit a man.","Do, I prithee, but yet have the grace to consider that tears do not become a man."
1989,But don’t I have good reason to cry?,But have I not cause to weep?
1990,As good a reason as any.,As good cause as one would desire.
1991,So go ahead and cry.,Therefore weep.
1992,His kiss is as holy as bread blessed by a priest.,And his kissing is as full of sanctity as the touch of holy bread.
1993,I’m very glad I came to see you.,I am heartily glad I came hither to you.
1994,"If he shows up tomorrow, I’ll give him what’s coming to him.","If he come tomorrow, I’ll give him his payment."
1995,"If he can manage to walk after our fight, I’ll never wrestle for money again.","If ever he go alone again, I’ll never wrestle for prize more."
1996,"Farewell, my lord.","Farewell, good Charles."
1997,But not for long; Charles will take care of everything.,But it shall not be so long; this wrestler shall clear all.
1998,But you heard him swear up and down that he was.,You have heard him swear downright he was.
1999,He’s staying in the forest with your father now.,He attends here in the forest on the duke your father.
2000,I met my father in the woods yesterday and had a long conversation with him.,I met the duke yesterday and had much question with him.
2001,He laughed at that and let me go.,So he laughed and let me go.
2002,"He writes brave poems, speaks brave words, makes brave promises, and then breaks them just as bravely.",But what talk we of fathers when there is such a man as Orlando?
2003,He’s like a cowardly,"Oh, that’s a brave man."
2004,Who’s coming here?,Who comes here?
2005,"Mistress and master, you’ve often asked about that lovelorn shepherd you once saw me sitting with, the one who complained about the disdainful shepherdess he was in love with.","Mistress and master, you have oft inquired After the shepherd that complained of love, Who you saw sitting by me on the turf, Praising the proud disdainful shepherdess That was his mistress."
2006,"Yes, what about him?",The sight of lovers feedeth those in love.
2007,"Sweet Phoebe, do not scorn me.","Sweet Phoebe, do not scorn me."
2008,"Do not, Phoebe.","Do not, Phoebe."
2009,"Go ahead and say you don’t love me, but not so bitterly.","Say that you love me not, but say not so In bitterness."
2010,"Faint, fall down—if you don’t, then you’re lying about my eyes being murderers.","Now counterfeit to swoon, why, now fall down; Or if thou canst not, Oh, for shame, for shame, Lie not, to say mine eyes are murderers."
2011,"Come on, show me the wound that my eyes have caused.",Now show the wound mine eye hath made in thee.
2012,"But my eyes, which I’ve darted at you, haven’t even left a mark.","But now mine eyes, Which I have darted at thee, hurt thee not."
2013,Now I am sure that eyes can’t hurt a person.,"Nor, I am sure, there is no force in eyes That can do hurt."
2014,"Oh, darling Phoebe, if you ever fall in love with some fresh face, then you’ll know about the invisible wounds that love’s sharp arrows can make.","O dear Phoebe, If ever—as that ever may be near— You meet in some fresh cheek the power of fancy, Then shall you know the wounds invisible That love’s keen arrows make."
2015,"Well, until that time, don’t come near me.",But till that time Come not thou near me.
2016,"And when that time comes, then you can mock me, but please don’t pity me, because I won’t pity you.","And when that time comes, Afflict me with thy mocks, pity me not, As till that time I shall not pity thee."
2017,"But mistress, know yourself.","But, mistress, know yourself."
2018,Get down on your knees and thank heaven for sending you such a good man.,"Down on your knees And thank heaven, fasting, for a good man’s love, For I must tell you friendly in your ear, Sell when you can; you are not for all markets."
2019,"Ask this man’s forgiveness, love him, and accept his offer.","Cry the man mercy, love him, take his offer."
2020,"So take her, shepherd, and God bless you.","So take her to thee, shepherd."
2021,"Besides, I don’t like you.","Besides, I like you not."
2022,"Come on, sister.","Will you go, sister?—Shepherd, ply her hard."
2023,And don’t be proud.,"Come, sister.—Shepherdess, look on him better, And be not proud."
2024,"The whole world could look at you, and no one would be as blind as he is, thinking you’re beautiful.","Though all the world could see, None could be so abused in sight as he."
2025,"Sweet Phoebe, have pity on me.","Sweet Phoebe, pity me."
2026,"Well, I’m sorry for you, gentle Silvius.","Why, I am sorry for thee, gentle Silvius."
2027,Then both my grief and your sorrow will be cured.,"If you do sorrow at my grief in love, By giving love your sorrow and my grief Were both extermined."
2028,You have my friendship.,Thou hast my love.
2029,Isn’t that enough?,Is not that neighborly?
2030,I want you.,I would have you.
2031,"Well, that’s just greedy.","Why, that were covetousness."
2032,But don’t expect any more than that.,But do not look for further recompense Than thine own gladness that thou art employed.
2033,Do you know the boy who was just speaking to me?,Know’st thou the youth that spoke to me erewhile?
2034,"Not very well, but I’ve met him several times.","Not very well, but I have met him oft, And he hath bought the cottage and the bounds That the old carlot once was master of."
2035,Don’t think I’m in love with him just because I’m asking about him.,"Think not I love him, though I ask for him."
2036,But what do I care about words?,Tis but a peevish boy—yet he talks well— But what care I for words?
2037,"And yet, words are a good thing when the man speaking them is pleasant to listen to.",Yet words do well When he that speaks them pleases those that hear.
2038,"He’s awfully proud, but his pride suits him.",It is a pretty youth—not very pretty— But sure he’s proud—and yet his pride becomes him.
2039,He’ll grow up to be a proper man.,He’ll make a proper man.
2040,"He’s not very tall, but he’s tall enough for his age.",He is not very tall—yet for his years he’s tall.
2041,"His legs aren’t great, but they’re alright.",His leg is but so-so—and yet ’tis well.
2042,"His lips were nice and red, a little more lively and passionate than the red that was in his cheeks—one was pure red and the other more pink.","There was a pretty redness in his lip, A little riper and more lusty red Than that mixed in his cheek: ’twas just the difference Betwixt the constant red and mingled damask."
2043,What right did he have to scold me like that?,For what had he to do to chide at me?
2044,"He said my eyes and my hair were black and, now that I think of it, he scorned me.","He said mine eyes were black and my hair black And, now I am remembered, scorned at me."
2045,I’m surprised I didn’t bite back.,I marvel why I answered not again.
2046,But no matter—I’ll get back at him soon enough.,But that’s all one: omittance is no quittance.
2047,"I’ll write him a taunting letter, and you can deliver it.","I’ll write to him a very taunting letter, And thou shalt bear it."
2048,"Will you do that for me, Silvius?","Wilt thou, Silvius?"
2049,"With all my heart, Phoebe.","Phoebe, with all my heart."
2050,"I’ll be bitter toward him, and curt.",I will be bitter with him and passing short.
2051,"Come with me, Silvius.","Go with me, Silvius."
2052,"Please, pretty young man, I’d like to get to know you better.","I prithee, pretty youth, let me be better acquainted with thee."
2053,They say you are a melancholy fellow.,They say you are a melancholy fellow.
2054,I am.,I am so.
2055,I like it better than laughing.,I do love it better than laughing.
2056,People who are either too serious or too silly are awful.,Those that are in extremity of either are abominable fellows and betray themselves to every modern censure worse than drunkards.
2057,"Well, I think it’s good to be serious and keep quiet.","Why, ’tis good to be sad and say nothing."
2058,In that case it’s good to be a post.,"Why then, ’tis good to be a post."
2059,I don’t have the proud melancholy of a courtier or the ambitious melancholy of a soldier or the calculated melancholy of a lawyer.,"I have neither the scholar’s melancholy, which is emulation; nor the musician’s, which is fantastical; nor the courtier’s, which is proud; nor the soldier’s, which is ambitious; nor the lawyer’s, which is politic; nor the lady’s, which is nice; nor the lover’s, which is all these, but it is a melancholy of mine own, compounded of many simples, extracted from many objects, and indeed the sundry contemplation of my travels, in which my often rumination wraps me in a most humorous sadness."
2060,You’re a traveler.,A traveler.
2061,"Well then, you have good reason to be sad.","By my faith, you have great reason to be sad."
2062,I’m afraid you’ve sold your own land to see other men’s.,I fear you have sold your own lands to see other men’s.
2063,To have seen much but own nothing is to have rich eyes and poor hands.,Then to have seen much and to have nothing is to have rich eyes and poor hands.
2064,Not true.,"Yes, I have gained my experience."
2065,And your experience makes you sad.,And your experience makes you sad.
2066,"I’d rather have a jester to make me happy than experience to make me sad—and to travel for all that trouble, no less!","I had rather have a fool to make me merry than experience to make me sad— and to travel for it, too."
2067,"Good day and happiness to you, darling Rosalind.","Good day and happiness, dear Rosalind."
2068,"My beautiful Rosalind, I’m only an hour late.","My fair Rosalind, I come within an hour of my promise."
2069,"Please, Rosalind, my sweet cousin—be happy.","I pray thee, Rosalind, sweet my coz, be merry."
2070,"Dear Celia—I already look much happier than I feel, but you want me to look even happier?","Dear Celia, I show more mirth than I am mistress of, and would you yet I were merrier?"
2071,"Unless you can also teach me how to forget my banished father, you shouldn’t try to teach me how to be happy.","Unless you could teach me to forget a banished father, you must not learn me how to remember any extraordinary pleasure."
2072,"Well, by this I can see that you don’t love me as much as I love you.",Herein I see thou lov’st me not with the full weight that I love thee.
2073,"If  Well, I’ll just forget the difficulties of my situation, in order to focus on the happiness of yours.","Well, I will forget the condition of my estate to rejoice in yours."
2074,"I swear I will, and if I ever break my promise let me turn into a monster.","By mine honor I will, and when I break that oath, let me turn monster."
2075,"So please, my sweet Rose, my dear Rose, be happy.","Therefore, my sweet Rose, my dear Rose, be merry."
2076,"From now on I will, cousin, and I’ll think of all kinds of games for us.","From henceforth I will, coz, and devise sports."
2077,Let me see—what do you think about falling in love?,Let me see—what think you of falling in love?
2078,You’d break a date with your beloved by a whole hour?,Break an hour’s promise in love?
2079,"Forgive me, darling Rosalind.","Pardon me, dear Rosalind."
2080,"No, if you’re ever late like this again, I’ll refuse to see you.","Nay, an you be so tardy, come no more in my sight."
2081,I’d rather be wooed by a snail.,I had as lief be wooed of a snail.
2082,A snail?,Of a snail?
2083,"Besides, he brings his fate with him.","Besides, he brings his destiny with him."
2084,What fate is that?,What’s that?
2085,"Why, his cuckold’s horns, of course—the kind you men are always blaming on your wives.","Why, horns, which such as you are fain to be beholding to your wives for."
2086,"See, the snail already has its horns, which prevents nasty rumors from spreading about his wife’s infidelity.",But he comes armed in his fortune and prevents the slander of his wife.
2087,"A virtuous woman won’t give her husband horns, and my Rosalind is definitely virtuous.","Virtue is no hornmaker, and my Rosalind is virtuous."
2088,And I am your Rosalind.,And I am your Rosalind.
2089,"Come on, woo me, woo me.",Rosalind of a better leer than you.
2090,I’m in a good mood now and likely to give you what you want.,"Come, woo me, woo me, for now I am in a holiday humor, and like enough to consent."
2091,What would you say to me now if I really were your precious little Rosalind?,"What would you say to me now, an I were your very, very Rosalind?"
2092,I’d kiss you before I spoke.,I would kiss before I spoke.
2093,"No, it would be better to speak first and kiss only after you’ve run out of things to say.","Nay, you were better speak first, and when you were graveled for lack of matter, you might take occasion to kiss."
2094,"When good orators finish talking, they spit; when lovers do (God help us if they ever do), they kiss.","Very good orators, when they are out, they will spit; and for lovers lacking—God warn us—matter, the cleanliest shift is to kiss."
2095,What if she won’t kiss me?,How if the kiss be denied?
2096,Who could be out of things to say if he were with the girl he loves?,"Who could be out, being before his beloved mistress?"
2097,"Indeed, you would be out if I were your mistress—if my chastity is worth as much as my wit.","Marry, that should you if I were your mistress, or I should think my honesty ranker than my wit."
2098,Aren’t I your Rosalind?,Am not I your Rosalind?
2099,"I like to pretend you are, because then it’s almost like actually talking to her.",I take some joy to say you are because I would be talking of her.
2100,"No, you won’t die yourself, but only by proxy.","No, faith, die by attorney."
2101,"This world is almost six thousand years old, and in all this time not one man has ever actually died from love.","The poor world is almost six thousand years old, and in all this time there was not any man died in his own person, videlicet, in a love cause."
2102,"Then love me, Rosalind.","Then love me, Rosalind."
2103,"Okay, I will—on Fridays and Saturdays, and the rest.","Yes, faith, will I, Fridays and Saturdays and all."
2104,And will you have me?,And wilt thou have me?
2105,"Sure, and twenty others just like you.","Ay, and twenty such."
2106,What’s that?,What sayest thou?
2107,"Well, aren’t you a good man?",Are you not good?
2108,I hope so.,I hope so.
2109,"And can a person ever have too much of a good thing?—Come on, sister, you can be the priest and marry us.—Give me your hand, Orlando.—What do you say, sister?","Why then, can one desire too much of a good thing?— Come, sister, you shall be the priest and marry us.—Give me your hand, Orlando.—What do you say, sister?"
2110,"Please, marry us.","Pray thee, marry us."
2111,I do.,I will.
2112,"Okay, but when?","Ay, but when?"
2113,Right now; as fast as she can say the vows.,"Why, now, as fast as she can marry us."
2114,"Then you have to say, “I take you, Rosalind, to be my lawfully wedded wife.” I take you, Rosalind, to be my lawfully wedded wife.","Then you must say “I take thee, Rosalind, for wife.” I take thee, Rosalind, for wife."
2115,"Maybe I should ask you what right you have to take me, but I’ll take you, Orlando, to be my husband.","I might ask you for your commission, but I do take thee, Orlando, for my husband."
2116,So do all thoughts.,So do all thoughts.
2117,They have wings.,They are winged.
2118,Now tell me how long you intend to keep her.,Now tell me how long you would have her after you have possessed her.
2119,Forever and a day.,Forever and a day.
2120,"No, Orlando, men are like April when they’re wooing a girl—young, and passionate—but like December once they’re married and their passions have cooled.","Say “a day” without the “ever.” No, no, Orlando, men are April when they woo, December when they wed. Maids are May when they are maids, but the sky changes when they are wives."
2121,I’ll be more jealous of you than a wild rooster over his hen; more noisy than a parrot chattering about the rain; more fond of new things than an ape; more giddy about getting what I want than a monkey.,"I will be more jealous of thee than a Barbary cock- pigeon over his hen, more clamorous than a parrot against rain, more newfangled than an ape, more giddy in my desires than a monkey."
2122,"I’ll cry at nothing, and I’ll always do it when you’re in a good mood.","I will weep for nothing, like Diana in the fountain, and I will do that when you are disposed to be merry."
2123,"And when you want to go to sleep, I’ll be up laughing like a hyena.","I will laugh like a hyena, and that when thou art inclined to sleep."
2124,"But will my Rosalind do this, too?",But will my Rosalind do so?
2125,But she is wise.,"Oh, but she is wise."
2126,Right.,Or else she could not have the wit to do this.
2127,"The wiser the woman, the wilder.","The wiser, the waywarder."
2128,"If you close the doors on a woman’s wit, it’ll fly out the window.","Make the doors upon a woman’s wit, and it will out at the casement."
2129,"If you shut the windows, it will pour out the keyhole.","Shut that, and ’twill out at the keyhole."
2130,"If you stop up the keyhole, it will escape from the chimney along with the smoke.","Stop that, ’twill fly with the smoke out at the chimney."
2131,"A man with a wife like that might ask, “Hey, wandering wit, where are you off to?” Nah, better save the questions for when you find her in your neighbor’s bed.","A man that had a wife with such a wit, he might say “Wit, whither wilt?”  Nay, you might keep that check for it, till you met your wife’s wit going to your neighbor’s bed."
2132,You’ll never find her without an answer unless you find her without a tongue.,You shall never take her without her answer unless you take her without her tongue.
2133,A woman who doesn’t know how to make her own indiscretions look like her husband’s fault is hardly a woman.,"Oh, that woman that cannot make her fault her husband’s occasion, let her never nurse her child herself, for she will breed it like a fool."
2134,"Rosalind, I have to leave you for two hours.","For these two hours, Rosalind, I will leave thee."
2135,I must join the duke for lunch.,I must attend the duke at dinner.
2136,I’ll be back here with you by two o'clock.,By two o'clock I will be with thee again.
2137,"Oh, go, leave me.","Ay, go your ways, go your ways."
2138,I knew you’d turn out this way.,I knew what you would prove.
2139,"My friends told me as much, and I knew it, too.","My friends told me as much, and I thought no less."
2140,"So, take me, death!","Tis but one cast away, and so, come, death."
2141,You’ll be back at two o'clock?,Two o'clock is your hour?
2142,"Yes, sweet Rosalind.","Ay, sweet Rosalind."
2143,"So beware of my contempt, and keep your promise.","Therefore beware my censure, and keep your promise."
2144,I’ll keep my promise just as if you really were Rosalind.,With no less religion than if thou wert indeed my Rosalind.
2145,"So, goodbye.","So, adieu."
2146,"Well, time is the old judge that tries your kind of criminal.","Well, time is the old justice that examines all such offenders, and let time try."
2147,Goodbye.,Adieu.
2148,You have absolutely abused our sex in this love talk of yours.,You have simply misused our sex in your love-prate.
2149,We should rip off your man’s clothing and show the world the woman who has represented her own kind so badly.,We must have your doublet and hose plucked over your head and show the world what the bird hath done to her own nest.
2150,"Oh cousin, cousin, cousin, my sweet little cousin, I wish you knew how deep in love I am.","O coz, coz, coz, my pretty little coz, that thou didst know how many fathom deep I am in love."
2151,"Or it’s bottomless, at least: pour affection in one end, and it runs out the other.","Or rather bottomless, that as fast as you pour affection in, it runs out."
2152,"Cupid—that blind bastard son of Venus, conceived from a thought and anger, born from insanity, that blind, naughty boy who makes everyone else go blind just because he can’t see himself—let Cupid judge how deep my love runs.","No, that same wicked bastard of Venus that was begot of thought, conceived of spleen, and born of madness, that blind rascally boy that abuses everyone’s eyes because his own are out, let him be judge how deep I am in love."
2153,"I’m telling you, Aliena, I can’t stand being apart from Orlando.","I’ll tell thee, Aliena, I cannot be out of the sight of Orlando."
2154,I’m going to find some shade and sigh until he returns.,I’ll go find a shadow and sigh till he come.
2155,And I’m going to sleep.,And I’ll sleep.
2156,Which one of you killed the deer?,Which is he that killed the deer?
2157,"Yes, sir.","Yes, sir."
2158,Then sing it.,Sing it.
2159,It doesn’t matter if it’s in tune so long as it’s loud enough.,"Tis no matter how it be in tune, so it make noise enough."
2160,What do you say now?,How say you now?
2161,Isn’t it past two o'clock?,Is it not past two o'clock?
2162,And I see a lot of Orlando here.,And here much Orlando.
2163,Look who’s coming.,Look who comes here.
2164,"No, I swear, I don’t even know what’s in it.","No, I protest, I know not the contents."
2165,Phoebe wrote it.,Phoebe did write it.
2166,"Well, then, what should we do for fun instead?","What shall be our sport, then?"
2167,"Let’s go find that hussy, Fortune, and and mock her till she starts distributing her gifts more equally.","Let us sit and mock the good housewife Fortune from her wheel, that her gifts may henceforth be bestowed equally."
2168,"Oh, really?",No?
2169,"Well, when Nature makes a person beautiful, can’t Fortune make her fall into a fire, thereby making her ugly after all?","When Nature hath made a fair creature, may she not by Fortune fall into the fire?"
2170,"And even though Nature has given us the wit to have this argument, hasn’t Fortune sent this fool here to stop us?","Though Nature hath given us wit to flout at Fortune, hath not Fortune sent in this fool to cut off the argument?"
2171,"Come on, you’re a fool, and driven to extreme measures by love.","Come, come, you are a fool, And turned into the extremity of love."
2172,The point is that she didn’t write this letter.,I say she never did invent this letter.
2173,"These are a man’s words, and his handwriting.","This is a man’s invention, and his hand."
2174,"I’m telling you, it’s hers.",Sure it is hers.
2175,"Why, she challenges me like a Muslim would challenge a Christian.","Why, she defies me Like Turk to Christian."
2176,"No, a woman’s gentle brain could never have come up with such crude expressions and even harsher meanings.","Women’s gentle brain Could not drop forth such giant-rude invention, Such Ethiop words, blacker in their effect Than in their countenance."
2177,Do you want to hear what she says?,Will you hear the letter?
2178,"If you want to read it, as I haven’t heard it yet, though I’ve heard too much of Phoebe’s cruelty.","So please you, for I never heard it yet, Yet heard too much of Phoebe’s cruelty."
2179,She’s Phoebe-ing me.,She Phoebes me.
2180,Listen to what the tyrant says.,Mark how the tyrant writes.
2181,You call that ranting?,That a maiden’s heart hath burned?
2182,You call this sneering?,Call you this railing?
2183,Why do you pity him?,"Why, thy godhead laid apart, Warr’st thou with a woman’s heart?"
2184,Follow them straight to the cottage.,Not to be endured.
2185,"Since you asked, I suppose it’s not bragging to say that we are.","It is no boast, being asked, to say we are."
2186,"Orlando sends his regards to you both, and he sends this bloody handkerchief to the boy he calls “his Rosalind.” Is that you?","Orlando doth commend him to you both, And to that youth he calls his Rosalind He sends this bloody napkin."
2187,It is.,Are you he?
2188,"It’s about who I am, and how, why, and where this handkerchief was stained.","Some of my shame, if you will know of me What man I am, and how, and why, and where This handkercher was stained."
2189,"Please, tell us.","I pray you, tell it."
2190,"He looked to the side, and pay attention to what he saw then: under an oak tree—whose lower branches were mossy with age and top branches ancient and brittle—he saw a wretched beggar, with overgrown hair and beard, asleep on his back.","He threw his eye aside— And mark what object did present itself: Under an old oak, whose boughs were mossed with age And high top bald with dry antiquity, A wretched, ragged man, o'ergrown with hair, Lay sleeping on his back."
2191,He discovered that the man was his older brother.,"This seen, Orlando did approach the man And found it was his brother, his elder brother."
2192,"Oh, I’ve heard him talk about that brother, and he described him as the most inhumane man alive.","Oh, I have heard him speak of that same brother, And he did render him the most unnatural That lived amongst men."
2193,He turned away twice and almost left him there.,"But to Orlando: did he leave him there, Food to the sucked and hungry lioness?"
2194,"But his kindness was nobler than even his desire for revenge, his natural goodness was stronger than his need to give his brother what he deserved.","Twice did he turn his back and purposed so, But kindness, nobler ever than revenge, And nature, stronger than his just occasion, Made him give battle to the lioness, Who quickly fell before him; in which hurtling, From miserable slumber I awaked."
2195,Are you his brother?,Are you his brother?
2196,Was it you that he rescued?,Was ’t you he rescued?
2197,Was it you that was always plotting to kill him?,Was ’t you that did so oft contrive to kill him?
2198,"That was me, but it’s not me— I’m not ashamed to tell you what I once was, since I’m so happy to have since converted.","Twas I, but ’tis not I. I do not shame To tell you what I was, since my conversion So sweetly tastes, being the thing I am."
2199,But what about the bloody handkerchief?,But for the bloody napkin?
2200,I’ll get there.,By and by.
2201,"After a brief time—as he is a strong, brave man—","Brief, I recovered him, bound up his wound, And after some small space, being strong at heart,"
2202,Many people faint when they see blood.,Many will swoon when they do look on blood.
2203,There’s more to it than that.—Ganymede!,There is more in it.—Cousin Ganymede.
2204,"Look, he’s recovering.","Look, he recovers."
2205,I want to go home.,I would I were at home.
2206,We’ll take you there.,We’ll lead you thither.
2207,"Please, will you take his arm?","I pray you, will you take him by the arm?"
2208,"Buck up, boy!","Be of good cheer, youth."
2209,You’re a man?,You a man?
2210,You don’t have a man’s courage.,You lack a man’s heart.
2211,"It’s true, I confess.","I do so, I confess it."
2212,"Oh, sir, someone would think I was a good fake.","Ah, sirrah, a body would think this was well-counterfeited."
2213,Please tell your brother what a convincing show I put on.,I pray you tell your brother how well I counterfeited.
2214,Whoo-hoo!,Heigh-ho.
2215,That was no show.,This was not counterfeit.
2216,Your cheeks are too flushed for me to believe that was a fake faint.,There is too great testimony in your complexion that it was a passion of earnest.
2217,"Fake, I’m telling you.","Counterfeit, I assure you."
2218,"Well, then, be brave and pretend to be a man.","Well then, take a good heart and counterfeit to be a man."
2219,That’s what I’m doing.,So I do.
2220,"But honestly, I should have been a woman.","But i' faith, I should have been a woman by right."
2221,"Come on, you keep getting paler.","Come, you look paler and paler."
2222,"I’ll do that, because I have to tell my brother how you forgave him, Rosalind.","That will I, for I must bear answer back How you excuse my brother, Rosalind."
2223,I’ll think of something.,I shall devise something.
2224,"But please, tell him how well I faked a faint.",But I pray you commend my counterfeiting to him.
2225,Will you come with us?,Will you go?
2226,"We’ll get married at some point, Audrey.","We shall find a time, Audrey."
2227,Be patient.,"Patience, gentle Audrey."
2228,"Really, the priest was good enough, no matter what that old guy said.","Faith, the priest was good enough, for all the old gentleman’s saying."
2229,"No, he was wicked and vile.","A most wicked Sir Oliver, Audrey, a most vile Martext."
2230,"But Audrey, there’s a boy in the forest who claims you’re his girl.","But, Audrey, there is a youth here in the forest lays claim to you."
2231,Here comes the man himself.,Here comes the man you mean.
2232,It warms my heart to encounter such a country bumpkin.,It is meat and drink to me to see a clown.
2233,"How old are you, friend?","How old are you, friend?"
2234,"Twenty-five, sir.","Five-and-twenty, sir."
2235,A mature age.,A ripe age.
2236,Is your name William?,Is thy name William?
2237,"Yes, it’s William, sir.","William, sir."
2238,A good name.,A fair name.
2239,Were you born here in the forest?,Wast born i' th' forest here?
2240,"Yes sir, thank God.","Ay, sir, I thank God."
2241,Thank God”—that’s a good answer.,Thank God.” A good answer.
2242,Are you rich?,Art rich?
2243,"Well, so-so.","Faith, sir, so-so."
2244,"So-so” is good, very good, an excellent answer.","So-so” is good, very good, very excellent good."
2245,"And then again, it’s not so good, but only so-so.",And yet it is not: it is but so-so.
2246,Are you wise?,Art thou wise?
2247,"Yes sir, I’m fairly witty.","Ay, sir, I have a pretty wit."
2248,"Well, that’s a fine answer.","Why, thou sayst well."
2249,Give me your hand.,Give me your hand.
2250,Are you educated?,Art thou learned?
2251,"No, sir.","No, sir."
2252,"Then learn this from me: if you have something, you have it.",Then learn this of me: to have is to have.
2253,"Everyone knows that when you pour a drink out of a cup and into a glass, the cup becomes empty.","For it is a figure in rhetoric that drink, being poured out of a cup into a glass, by filling the one doth empty the other."
2254,"Why, the he that will marry this woman.","He, sir, that must marry this woman."
2255,"Or, rather, I’ll kill you, or I’ll do away with you, or I’ll turn your life into death and your freedom into captivity.","Therefore, you clown, abandon—which is, in the vulgar, “leave”—the society—which in the boorish is “company”—of this female—which in the common is “woman”; which together is, abandon the society of this female, or, clown, thou perishest; or, to thy better understanding, diest; or, to wit, I kill thee, make thee away, translate thy life into death, thy liberty into bondage."
2256,"I’ll poison you, or beat you with a club, or stab you with a sword.","I will deal in poison with thee, or in bastinado, or in steel."
2257,I’ll bandy you about and overwhelm you with my cleverness.,I will bandy with thee in faction.
2258,"I will, in other words, kill you in three hundred and fifty ways.",I will kill thee a hundred and fifty ways.
2259,"Therefore, tremble with fear and leave.",Therefore tremble and depart.
2260,"Do what he says, William.","Do, good William."
